Cache: (10, 2, 8) WTWNA
Read MISS for address 10028f30
Read MISS for address 10029bc0
Read MISS for address 100292f0
Read MISS for address 10029bbc
Read MISS for address 10028eac
Read MISS for address 10029bb8
Read MISS for address 100292a8
Read MISS for address 10029bb4
Read MISS for address 10028750
Read MISS for address 10029bb0
Read MISS for address 100291dc
Read MISS for address 10029bac
Read MISS for address 10028984
Read MISS for address 10029ba8
Read MISS for address 10028d8c
Read MISS for address 10029ba4
Read MISS for address 1002917c
Read MISS for address 10029ba0
Read MISS for address 1002884c
Read MISS for address 10029b9c
Read MISS for address 10028db0
Read MISS for address 10029b98
Read MISS for address 1002935c
Read MISS for address 10029b94
Read MISS for address 100288d0
Read MISS for address 10029b90
Read MISS for address 100286c0
Read MISS for address 10029b8c
Read MISS for address 10028a38
Read MISS for address 10029b88
Read MISS for address 10028b4c
Read MISS for address 10029b84
Read MISS for address 10029200
Read MISS for address 10029b80
Read MISS for address 10029080
Read MISS for address 10029b7c
Read MISS for address 100290f8
Read MISS for address 10029b78
Read MISS for address 10029230
Read MISS for address 10029b74
Read MISS for address 10028f48
Read MISS for address 10029b70
Read MISS for address 100292d8
Read MISS for address 10029b6c
Read MISS for address 10028708
Read MISS for address 10029b68
Read MISS for address 10028df8
Read MISS for address 10029b64
Read MISS for address 10028b04
Read MISS for address 10029b60
Read MISS for address 10028b58
Read MISS for address 10029b5c
Read MISS for address 10028c30
Read MISS for address 10029b58
Read MISS for address 10028d14
Read MISS for address 10028864
Write MISS for address 10029944
Write HIT for address 10029b58
Read MISS for address 10029948
Read MISS for address 10029b54
Read MISS for address 10028e1c
Read MISS for address 1002902c
Write HIT for address 10029948
Write HIT for address 10029b54
Read MISS for address 1002994c
Read MISS for address 10029b50
Read MISS for address 10028ae0
Read MISS for address 10028e94
Write HIT for address 1002994c
Write HIT for address 10029b50
Read MISS for address 10029950
Read MISS for address 10029b4c
Read MISS for address 10028e04
Read MISS for address 10028d08
Write HIT for address 10029950
Write HIT for address 10029b4c
Read MISS for address 10029954
Read MISS for address 10029b48
Read MISS for address 10028870
Read MISS for address 100292b4
Write HIT for address 10029954
Write HIT for address 10029b48
Read MISS for address 10029958
Read MISS for address 10029b44
Read MISS for address 10028924
Read MISS for address 10029398
Write HIT for address 10029958
Write HIT for address 10029b44
Read MISS for address 1002995c
Read MISS for address 10029b40
Read MISS for address 100288dc
Read MISS for address 10028b40
Write HIT for address 1002995c
Write HIT for address 10029b40
Read MISS for address 10029960
Read MISS for address 10029b3c
Read MISS for address 100289b4
Read MISS for address 10029374
Read MISS for address 10029b38
Read MISS for address 10029b34
Read MISS for address 10028be8
Read MISS for address 10029b30
Read MISS for address 10028edc
Read MISS for address 10029b2c
Read MISS for address 1002932c
Read MISS for address 1002875c
Read MISS for address 10029b28
Read MISS for address 10029b24
Read MISS for address 10028780
Read MISS for address 10029b20
Read MISS for address 1002914c
Read MISS for address 10029b1c
Read MISS for address 100291f4
Read MISS for address 10029b18
Read MISS for address 10028948
Read MISS for address 10029b14
Read MISS for address 10028cf0
Read MISS for address 10028b1c
Write HIT for address 10029960
Write HIT for address 10029b14
Read MISS for address 10029964
Read MISS for address 10029b10
Read MISS for address 10028bb8
Read MISS for address 100293a4
Read MISS for address 10029b0c
Read MISS for address 10028690
Write HIT for address 10029964
Write HIT for address 10029b0c
Read MISS for address 10029968
Read MISS for address 10029b08
Read MISS for address 10028c24
Read MISS for address 10029278
Read MISS for address 10029b04
Read MISS for address 10028d38
Write HIT for address 10029968
Write HIT for address 10029b04
Read MISS for address 1002996c
Read MISS for address 10029b00
Read MISS for address 10029afc
Read MISS for address 100290d4
Read MISS for address 10028d5c
Read MISS for address 10028ab0
